TitleId,Ts,Total Logins,Unique Logins,UniquePayers,Revenue,Purchases,Total Calls,Total Successful Calls,Total Errors,Arpu,Arppu,Average Purchase Price,New Users
9CEB3,2021-02-11T00:00:00.0000000Z,3,1,0,$0.00,0,52,49,3,$0.00,$0.00,$0.00,1
9CEB3,2021-02-20T00:00:00.0000000Z,25,3,0,$0.00,0,529,523,6,$0.00,$0.00,$0.00,3
9CEB3,2021-02-21T00:00:00.0000000Z,52,21,0,$0.00,0,"1,533","1,465",68,$0.00,$0.00,$0.00,18
9CEB3,2021-02-22T00:00:00.0000000Z,88,55,0,$0.00,0,"2,778","2,636",142,$0.00,$0.00,$0.00,49
9CEB3,2021-02-23T00:00:00.0000000Z,428,239,0,$0.00,0,"12,017","11,160",857,$0.00,$0.00,$0.00,219
9CEB3,2021-02-24T00:00:00.0000000Z,453,264,0,$0.00,0,"13,071","12,004","1,067",$0.00,$0.00,$0.00,230
9CEB3,2021-02-25T00:00:00.0000000Z,421,242,0,$0.00,0,"12,011","10,822","1,189",$0.00,$0.00,$0.00,203
9CEB3,2021-02-26T00:00:00.0000000Z,548,322,0,$0.00,0,"15,536","14,240","1,296",$0.00,$0.00,$0.00,266
9CEB3,2021-02-27T00:00:00.0000000Z,853,426,0,$0.00,0,"22,936","20,754","2,182",$0.00,$0.00,$0.00,351
9CEB3,2021-02-28T00:00:00.0000000Z,687,348,0,$0.00,0,"18,935","16,456","2,479",$0.00,$0.00,$0.00,269
9CEB3,2021-03-01T00:00:00.0000000Z,372,232,0,$0.00,0,"10,027","9,018","1,009",$0.00,$0.00,$0.00,169
9CEB3,2021-03-02T00:00:00.0000000Z,409,228,0,$0.00,0,"13,291","9,644","3,647",$0.00,$0.00,$0.00,183
